Category,Shortcut,Action
"作成とチャット","Shift + Esc","メイン ウィンドウにフォーカス"
"作成とチャット","Esc","最新のチャットにフォーカスまたは作成"
"作成とチャット","Ctrl + .","次のチャットに移動または作成"
"作成とチャット","Ctrl + ,","前のチャットに移動または作成"
"作成とチャット","⌘ + Enter","送信"
"作成とチャット","⌘ + Shift + c","Cc の宛先を追加"
"作成とチャット","⌘ + Shift + b","Bcc の宛先を追加"
"作成とチャット","⌘ + Shift + f","独自に設定した [From] にアクセス"
"作成とチャット","⌘ + Shift + d","下書きを破棄"
"作成とチャット","⌘ + k","リンクを挿入"
"作成とチャット","⌘ + ;","スペルミスのある前の単語に移動"
"作成とチャット","⌘ + '","スペルミスのある次の単語に移動"
"作成とチャット","⌘ + Shift + '","スペルの候補を表示"
"Google Workspace サイドパネル","⌘ + ⌥ + 。","メイン ウィンドウ、サイドパネル、ビデオ通話の間でフォーカスを移動します"
"Google Workspace サイドパネル","⌘ + ⌥ + 、","メイン ウィンドウ、サイドパネル、ビデオ通話の間でフォーカスを戻します"
"書式設定","⌘ + z","元に戻す"
"書式設定","⌘ + y","やり直す"
"書式設定","⌘ + Shift + 5","前のフォント"
"書式設定","⌘ + Shift + 6","次のフォント"
"書式設定","⌘ + Shift + -","文字サイズを縮小"
"書式設定","⌘ + Shift + +","文字サイズを拡大"
"書式設定","⌘ + b","太字"
"書式設定","⌘ + i","斜体"
"書式設定","⌘ + u","下線"
"書式設定","⌘ + Shift + 7","番号付きリスト"
"書式設定","⌘ + Shift + 8","箇条書き"
"書式設定","⌘ + Shift + 9","引用"
"書式設定","⌘ + [","インデント減"
"書式設定","⌘ + ]","インデント増"
"書式設定","⌘ + Shift + l","左揃え"
"書式設定","⌘ + Shift + e","中央揃え"
"書式設定","⌘ + Shift + r","右揃え"
"書式設定","⌘ + Shift + ,","右から左に表記する"
"書式設定","⌘ + Shift + .","左から右に表記する"
"書式設定","⌘ + Shift + x","取り消し線"
"書式設定","⌘ + \\","書式をクリア"
"移動","g 次に i","[受信トレイ] を開く"
"移動","g 次に s","スターの付いたスレッドを開く"
"移動","g 次に b","スヌーズしたスレッドへ移動"
"移動","g 次に t","[送信済みメール] を開く"
"移動","g 次に d","[下書き] を開く"
"移動","g 次に a","[すべてのメール] を開く"
"移動","g 次に c","[連絡先] を開く"
"移動","g 次に l","ラベル ショートカット"
"移動","g 次に k","ToDo リストに移動"
"移動","g 次に f","検索フィルタに移動"
"スレッドリストの選択","* 次に a","スレッドを全選択"
"スレッドリストの選択","* 次に n","スレッドの全選択を解除"
"スレッドリストの選択","* 次に r","既読スレッドを選択"
"スレッドリストの選択","* 次に u","未読スレッドを選択"
"スレッドリストの選択","* 次に s","スター付きスレッドを選択"
"スレッドリストの選択","* 次に t","スターの付いていないスレッドを選択"
"ナビゲーション","u","スレッドリストに戻る"
"ナビゲーション","k / j","新しい/古いスレッド"
"ナビゲーション","o または Enter","スレッドを開くまたは折りたたむ"
"ナビゲーション","p / n","前/次のメールを開く"
"ナビゲーション","g 次に n","次のページに移動"
"ナビゲーション","g 次に p","前のページに移動"
"ナビゲーション","`","次の受信トレイ セクションに移動します"
"ナビゲーション","~","前の受信トレイ セクションに移動します"
"ナビゲーション","⌘ + ⌥ + v","サイドバーのセクションをデフォルトの高さに再設定する"
"アプリケーション","/","メールを検索"
"アプリケーション","?","ショートカット キーのヘルプを開く"
"アプリケーション","q","チャットを開始または続行"
"アプリケーション","c","作成"
"アプリケーション","d","新しいタブで作成する"
"アプリケーション",".","[その他の操作] メニューを開く"
"アプリケーション","v","[移動] メニューを開く"
"アプリケーション","l","[ラベル] メニューを開く"
"操作",",","ツールバーにフォーカスを移動"
"操作","x","スレッドを選択"
"操作","s","スターを付ける / 外す / 切り替える"
"操作","y","ラベルを削除"
"操作","e","アーカイブ"
"操作","m","スレッドをミュート"
"操作","!","迷惑メールとして報告"
"操作","#","削除"
"操作","r","返信"
"操作","Shift + r","新しいウィンドウで返信"
"操作","a","全員に返信"
"操作","Shift + a","新しいウィンドウで全員に返信"
"操作","f","転送"
"操作","Shift + f","新しいウィンドウで転送"
"操作","Shift + n","スレッドを更新"
"操作","] / [","現在のビューからスレッドを削除して、新しいまたは古いスレッドへ移動"
"操作","} / {","スレッドをアーカイブして、新しいまたは古いスレッドへ移動"
"操作","z","直前の操作を取消"
"操作","Shift + i","既読にする"
"操作","Shift + u","未読にする"
"操作","_","選択したメッセージ以降を未読にします"
"操作","+ または =","重要マークを付ける"
"操作","-","重要マークを外す"
"操作",";","スレッド全体を展開する"
"操作",":","スレッド全体を折りたたむ"
"操作","b","スヌーズ"
"操作","Shift + t","ToDo リストに追加"
