カテゴリ,操作,ショートカット
ナビゲーション,前の期間,"p または k"
ナビゲーション,次の期間,"n または j"
ナビゲーション,今日,"t"
ナビゲーション,指定した日付に移動,"g"
ビュー,日ビュー,"1 または d"
ビュー,週ビュー,"2 または w"
ビュー,月ビュー,"3 または m"
ビュー,カスタムビュー,"4 または x"
ビュー,スケジュールビュー,"5 または a"
ビュー,年ビュー,"6 または y"
操作,予定を作成,"c"
操作,予定を編集,"e"
操作,予定を削除,"Backspace または Delete"
操作,直前の操作を元に戻す（可能な場合）,"Cmd + z または z"
操作,カレンダービューに戻る,"Esc"
操作,予定を保存,"Cmd + s または Cmd + Enter"
アプリケーション,検索,"/"
アプリケーション,[予定に招待するユーザーを検索] テキスト ボックスにフォーカス,"Shift + = または Plus"
アプリケーション,作成ダイアログを開く（終日の予定）,"q"
アプリケーション,作成ダイアログを開く（時間指定された予定）,"Shift + c"
アプリケーション,印刷,"Cmd + p"
アプリケーション,設定,"s"
アプリケーション,ショートカットのヘルプを開く,"Cmd + / または ?"
アプリケーション,サイドパネルに移動,"Alt + Cmd + ."
アプリケーション,サイドパネルに移動,"Alt + Cmd + ,"
アプリケーション,ユーザーまたはグループの情報を表示,"Alt + Right Arrow"
設定済みの予定のお知らせ,予定のタイトルを読み上げる,"Alt + 1"
設定済みの予定のお知らせ,予定の開催日時を通知,"Alt + 2"
設定済みの予定のお知らせ,予定のゲストを読み上げる,"Alt + 3"
設定済みの予定のお知らせ,予定の開催場所と会議室を読み上げる,"Alt + 4"
設定済みの予定のお知らせ,予定の説明を読み上げる,"Alt + 5"
設定済みの予定のお知らせ,予定の添付ファイルを読み上げる,"Alt + 6"
設定済みの予定のお知らせ,予定の通知を読み上げる,"Alt + 7"
