カテゴリ,操作,ショートカット
ヘルプ,キーボード ショートカットのヘルプ画面を開く,Command + /
管理,字幕を表示または非表示にする,c / shift + c
管理,画面共有を開始,ctrl + Command + t
管理,カメラを無効または有効にする,Command + e
管理,マイクをミュートまたはミュート解除する,Command + d
管理,ユーザーの表示と非表示を切り替える,ctrl + Command + p
管理,チャットの表示と非表示を切り替える,ctrl + Command + c
管理,動画フィードを最小化または拡大,ctrl + Command + m
管理,タイルの表示密度を上げる,ctrl + Command + k
管理,タイルの表示密度を下げる,ctrl + Command + j
管理,挙手する、挙手をやめる,ctrl + Command + h
ユーザー補助（スクリーン リーダーがオンの場合）,リアクションの読み上げ方法を変更します,shift + r
ユーザー補助（スクリーン リーダーがオンの場合）,現在発言している人を知らせる,ctrl + Command + s
ユーザー補助（スクリーン リーダーがオンの場合）,会議室に関する最新情報を知らせる,ctrl + Command + i
